,same_day_corr
long_short_imbalance,0.23491458166720197
pnl_mean,-0.24649705957324225
win_rate,-0.24868323294762654
avg_price,-0.4782357832420255
pnl_sum,-0.8878976520142261
volume,-0.9909604004082311
